file_name,url,genre,situation,camera,dancer,duration_sec,file_size_bytes,opened,frame_count,fps,width,height
gBR_sBM_c01_d04_mBR0_ch01.mp4,https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR0_ch01.mp4,gBR,sBM,c01,d04,11.995316666666668,3427560,True,719,59.94,1920,1080
gHO_sBM_c01_d19_mHO0_ch01.mp4,https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gHO_sBM_c01_d19_mHO0_ch01.mp4,gHO,sBM,c01,d19,8.725392058725392,2514732,True,523,59.94,1920,1080
gJB_sBM_c01_d07_mJB0_ch01.mp4,https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gJB_sBM_c01_d07_mJB0_ch01.mp4,gJB,sBM,c01,d07,11.995316666666668,3560338,True,719,59.94,1920,1080
gJS_sBM_c01_d01_mJS0_ch01.mp4,https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gJS_sBM_c01_d01_mJS0_ch01.mp4,gJS,sBM,c01,d01,11.995316666666668,3479034,True,719,59.94,1920,1080
gKR_sBM_c01_d28_mKR0_ch01.mp4,https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gKR_sBM_c01_d28_mKR0_ch01.mp4,gKR,sBM,c01,d28,11.995316666666668,3416044,True,719,59.94,1920,1080
gLH_sBM_c01_d16_mLH0_ch01.mp4,https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gLH_sBM_c01_d16_mLH0_ch01.mp4,gLH,sBM,c01,d16,11.995316666666668,3391897,True,719,59.94,1920,1080
gLO_sBM_c01_d13_mLO0_ch01.mp4,https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gLO_sBM_c01_d13_mLO0_ch01.mp4,gLO,sBM,c01,d13,11.995316666666668,3392937,True,719,59.94,1920,1080
gMH_sBM_c01_d22_mMH0_ch01.mp4,https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gMH_sBM_c01_d22_mMH0_ch01.mp4,gMH,sBM,c01,d22,11.995316666666668,3450461,True,719,59.94,1920,1080
gPO_sBM_c01_d10_mPO0_ch01.mp4,https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gPO_sBM_c01_d10_mPO0_ch01.mp4,gPO,sBM,c01,d10,11.995328661995329,3434020,True,719,59.94,1920,1080
gWA_sBM_c01_d25_mWA0_ch01.mp4,https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gWA_sBM_c01_d25_mWA0_ch01.mp4,gWA,sBM,c01,d25,11.995328661995329,3445005,True,719,59.94,1920,1080
